Ticker,Signal,Raw_Sentence,Scan_Date,Price,Market_Cap,TTM_EPS,EPS_Torque,EPS_Growth_Rate,Forward_PE,Forward_PEG,EPS_Source,Is_Quarterly
NVAX,NO DATA,No guidance found,2026-03-10T20:24:51.006310,,,,,,,,,
PHVS,NO DATA,No guidance found,2026-03-10T20:24:55.843938,,,,,,,,,
DRVN,NO DATA,No guidance found,2026-03-10T20:25:22.974413,,,,,,,,,
SION,NO DATA,No guidance found,2026-03-10T20:25:50.025973,,,,,,,,,
IMCR,NO DATA,No guidance found,2026-03-10T20:26:17.555619,,,,,,,,,
BRAI,NO DATA,No guidance found,2026-03-10T20:26:22.683528,,,,,,,,,
CECO,NO DATA,"$ 1,499 $ 2,086 $ 46,993 $ 8,079 Earnings per share: Basic $ 0.04",2026-03-10T20:26:53.151078,51.38,1832509440.0,1.37,0.16,-88.3,321.12,,10-K,True
CHCO,NO DATA,No guidance found,2026-03-10T20:27:23.491730,,,,,,,,,
BLBD,NO DATA,"ge shares outstanding 32,624,339 33,360,940 Basic earnings per share $ 0.97",2026-03-10T20:27:51.356116,53.06,1677598336.0,3.96,3.88,-2.0,13.68,,10-K,True
ANIP,NO DATA,No guidance found,2026-03-10T20:28:20.477577,,,,,,,,,
CAPR,NO DATA,No guidance found,2026-03-10T20:28:48.969281,,,,,,,,,
AGIO,NO DATA,No guidance found,2026-03-10T20:29:16.872628,,,,,,,,,
UFPT,NO DATA,No guidance found,2026-03-10T20:29:39.792990,,,,,,,,,
INVA,NO DATA,No guidance found,2026-03-10T20:30:12.086252,,,,,,,,,
HRMY,✅ STRONG BUY,"nsive income $ 50,983 $ 46,826 $ 136,492 $ 96,515 EARNINGS PER SHARE: Basic $ 0.88",2026-03-10T20:30:44.148249,28.57,1652506368.0,2.71,3.52,29.9,8.12,0.2716,10-K,True
EZPW,🔥 EXTREME BUY,"14,867 10,368 Net income $ 44,304 $ 31,016 Basic earnings per share $ 0.72",2026-03-10T20:31:13.211199,26.69,1646698880.0,1.57,2.88,83.4,9.27,0.1111,10-K,True
PRGS,🔴 SELL,"23 Net income $ 19,413 $ 28,464 $ 47,388 $ 67,291 Earnings per share: Basic $ 0.45",2026-03-10T20:31:40.696301,38.85,1666959104.0,1.66,1.8,8.4,21.58,2.5592,10-K,True
NTLA,NO DATA,No guidance found,2026-03-10T20:32:10.388971,,,,,,,,,
FLYW,NO DATA,No guidance found,2026-03-10T20:32:43.299990,,,,,,,,,
SRCE,NO DATA,No guidance found,2026-03-10T20:33:15.469076,,,,,,,,,
ORKA,NO DATA,No guidance found,2026-03-10T20:33:44.805118,,,,,,,,,
IPX,NO DATA,No guidance found,2026-03-10T20:33:49.789157,,,,,,,,,
PAYO,NO DATA,share attributable to common stockholders — Basic earnings per share $ 0.04,2026-03-10T20:34:20.527034,4.71,1678833920.0,0.19,0.16,-15.8,29.44,,10-K,True
QFIN,NO DATA,No guidance found,2026-03-10T20:34:25.556270,,,,,,,,,
GCT,NO DATA,No guidance found,2026-03-10T20:34:53.489323,,,,,,,,,
HLMN,NO DATA,No guidance found,2026-03-10T20:35:19.939772,,,,,,,,,
TILE,🔥 EXTREME BUY,"38 Net income $ 46,146 $ 28,443 $ 91,709 $ 65,180 Earnings per share – basic $ 0.79",2026-03-10T20:35:49.610259,27.59,1610997120.0,1.96,3.16,61.2,8.73,0.1426,10-K,True
NRIX,NO DATA,No guidance found,2026-03-10T20:36:18.390225,,,,,,,,,
JJSF,NO DATA,No guidance found,2026-03-10T20:36:44.517294,,,,,,,,,
LILAK,NO DATA,No guidance found,2026-03-10T20:37:21.262779,,,,,,,,,
AMLX,NO DATA,No guidance found,2026-03-10T20:37:45.799409,,,,,,,,,
LILA,NO DATA,No guidance found,2026-03-10T20:38:30.843553,,,,,,,,,
VIR,NO DATA,No guidance found,2026-03-10T20:38:53.789551,,,,,,,,,
OCS,NO DATA,No guidance found,2026-03-10T20:38:58.691380,,,,,,,,,
WINA,🔴 SELL,"11,136,500 $ 11,120,700 $ 31,694,200 $ 30,371,200 Earnings per share - basic $ 3.13",2026-03-10T20:39:20.166985,440.19,1574744960.0,11.31,12.52,10.7,35.16,3.2863,10-K,True
KOD,NO DATA,No guidance found,2026-03-10T20:39:39.011693,,,,,,,,,
KDK,NO DATA,No guidance found,2026-03-10T20:39:59.382060,,,,,,,,,
IMKTA,⚠️ HOLD,"diluted 18,994,376 4,445,765 18,994,376 4,449,153 Earnings per share Basic $ 1.51",2026-03-10T20:40:22.631013,83.91,1593818112.0,5.01,6.04,20.6,13.89,0.6757,10-K,True
GENB,NO DATA,No guidance found,2026-03-10T20:40:27.616381,,,,,,,,,
PWP,NO DATA,No guidance found,2026-03-10T20:40:48.267663,,,,,,,,,
